id,fighter
0,Sodiq Yusuff
1,Edson Barboza
2,Jennifer Maia
3,Viviane Araujo
4,Jonathan Martinez
5,Adrian Yanez
6,Andre Petroski
7,Michel Pereira
8,Christian Rodriguez
9,Cameron Saaiman
10,Darren Elkins
11,TJ Brown
12,Tainara Lisboa
13,Ravena Oliveira
14,Terrance McKinney
15,Brendon Marotte
16,Irina Alekseeva
17,Melissa Dixon
18,Chris Gutierrez
19,Alatengheili
20,Ashley Yoder
21,Emily Ducote
22,Grant Dawson
23,Bobby Green
24,Joe Pyfer
25,Abdul Razak Alhassan
26,Alex Morono
27,Joaquin Buckley
28,Drew Dober
29,Ricky Glenn
30,Alexander Hernandez
31,Bill Algeo
32,Karolina Kowalkiewicz
33,Diana Belbita
34,Nate Maness
35,Mateus Mendonca
36,Vanessa Demopoulos
37,Kanako Murata
38,Aoriqileng
39,Johnny Munoz
40,Montana De La Rosa
41,JJ Aldrich
42,Rafael Fiziev
43,Mateusz Gamrot
44,Bryce Mitchell
45,Dan Ige
46,Marina Rodriguez
47,Michelle Waterson-Gomez
48,Bryan Battle
49,AJ Fletcher
50,Ricardo Ramos
51,Charles Jourdain
52,Dan Argueta
53,Miles Johns
54,Tim Means
55,Andre Fialho
56,Jacob Malkoun
57,Cody Brundage
58,Mohammed Usman
59,Jake Collier
60,Mizuki
61,Hannah Goldy
62,Tamires Vidal
63,Montserrat Rendon
64,Alexa Grasso
65,Valentina Shevchenko
66,Kevin Holland
67,Jack Della Maddalena
68,Raul Rosas Jr.
69,Terrence Mitchell
70,Daniel Zellhuber
71,Christos Giagos
72,Fernando Padilla
73,Kyle Nelson
74,Loopy Godinez
75,Elise Reed
76,Roman Kopylov
77,Josh Fremd
78,Edgar Chairez
79,Daniel Lacerda
80,Tracy Cortez
81,Jasmine Jasudavicius
82,Alex Reyes
83,Charlie Campbell
84,Josefine Knutsson
85,Marnic Mann
86,Israel Adesanya
87,Sean Strickland
88,Tai Tuivasa
89,Alexander Volkov
90,Manel Kape
91,Felipe dos Santos
92,Justin Tafa
93,Austen Lane
94,Tyson Pedro
95,Anton Turkalj
96,Carlos Ulberg
97,Da Woon Jung
98,Jack Jenkins
99,Chepe Mariscal
100,Jamie Mullarkey
101,John Makdessi
102,Nasrat Haqparast
103,Landon Quinones
104,Blood Diamond
105,Charles Radtke
106,Shane Young
107,Gabriel Miranda
108,Kevin Jousset
109,Kiefer Crosbie
110,Ciryl Gane
111,Serghei Spivac
112,Manon Fiorot
113,Rose Namajunas
114,Benoit Saint Denis
115,Thiago Moises
116,Volkan Oezdemir
117,Bogdan Guskov
118,William Gomis
119,Yanis Ghemmouri
120,Morgan Charriere
121,Manolo Zecchini
122,Taylor Lapilus
123,Caolan Loughran
124,Ange Loosa
125,Rhys McKee
126,Nora Cornolle
127,Joselyne Edwards
128,Farid Basharat
129,Kleydson Rodrigues
130,Zarah Fairn
131,Jacqueline Cavalcanti
132,Max Holloway
133,Chan Sung Jung
134,Anthony Smith
135,Ryan Spann
136,Giga Chikadze
137,Alex Caceres
138,Rinya Nakamura
139,Fernie Garcia
140,Erin Blanchfield
141,Taila Santos
142,Junior Tafa
143,Parker Porter
144,Waldo Cortes-Acosta
145,Lukasz Brzeski
146,Toshiomi Kazama
147,Garrett Armfield
148,Chidi Njokuani
149,Michal Oleksiejczuk
150,Song Kenan
151,Rolando Bedoya
152,Billy Goff
153,Yusaku Kinoshita
154,Liang Na
155,SeungWoo Choi
156,Jarno Errens
157,Aljamain Sterling
158,Sean O'Malley
159,Zhang Weili
160,Amanda Lemos
161,Neil Magny
162,Ian Garry
163,Da'Mon Blackshear
164,Mario Bautista
165,Marlon Vera
166,Pedro Munhoz
167,Chris Weidman
168,Brad Tavares
169,Gregory Rodrigues
170,Denis Tiuliulin
171,Kurt Holobaugh
172,Austin Hubbard
173,Brad Katona
174,Cody Gibson
175,Gerald Meerschaert
176,Andrea Lee
177,Natalia Silva
178,Karine Silva
179,Maryna Moroz
180,Vicente Luque
181,Rafael Dos Anjos
182,Cub Swanson
183,Hakeem Dawodu
184,Khalil Rountree Jr.
185,Chris Daukaus
186,Polyana Viana
187,Iasmin Lucindo
188,AJ Dobson
189,Tafon Nchukwi
190,Jamie Pickett
191,JP Buys
192,Marcus McGhee
193,Mike Breeden
194,Francis Marshall
195,Isaac Dulgarian
196,Josh Parisian
197,Martin Buday
198,Jaqueline Amorim
199,Montserrat Conejo Ruiz
200,Jose Johnson
201,Juliana Miller
202,Luana Santos
203,Cory Sandhagen
204,Rob Font
205,Jessica Andrade
206,Tatiana Suarez
207,Dustin Jacoby
208,Kennedy Nzechukwu
209,Diego Lopes
210,Gavin Tucker
211,Tanner Boser
212,Aleksa Camur
213,Ignacio Bahamondes
214,Ludovit Klein
215,Kyler Phillips
216,Raoni Barcelos
217,Jeremiah Wells
218,Carlston Harris
219,Billy Quarantillo
220,Damon Jackson
221,Cody Durden
222,Jake Hadley
223,Sean Woodson
224,Dennis Buzukja
225,Ode Osbourne
226,Assu Almabayev
227,Dustin Poirier
228,Justin Gaethje
229,Jan Blachowicz
230,Alex Pereira
231,Derrick Lewis
232,Marcos Rogerio de Lima
233,Tony Ferguson
234,Michael Chiesa
235,Gabriel Bonfim
236,Trevin Giles
237,CJ Vergara
238,Vinicius Salvador
239,Claudio Ribeiro
240,Jake Matthews
241,Darrius Flowers
242,Matthew Semelsberger
243,Uros Medic
244,Miranda Maverick
245,Priscila Cachoeira
246,Tom Aspinall
247,Marcin Tybura
248,Molly McCann
249,Julija Stoliarenko
250,Nathaniel Wood
251,Andre Fili
252,Paul Craig
253,Andre Muniz
254,Jai Herbert
255,Fares Ziam
256,Lerone Murphy
257,Josh Culibao
258,Davey Grant
259,Daniel Marcos
260,Danny Roberts
261,Jonny Parsons
262,Marc Diakiese
263,Joel Alvarez
264,Mick Parkin
265,Jamal Pogues
266,Makhmud Muradov
267,Bryan Barberena
268,Ketlen Vieira
269,Pannie Kianzad
270,Chris Duncan
271,Yanal Ashmouz
272,Shauna Bannon
273,Bruna Brasil
274,Jafel Filho
275,Daniel Barez
276,Holly Holm
277,Mayra Bueno Silva
278,Bassil Hafez
279,Ottman Azaitar
280,Francisco Prado
281,Albert Duraev
282,JunYong Park
283,Norma Dumont
284,Chelsea Chandler
285,Nazim Sadykhov
286,Tucker Lutz
287,Melsik Baghdasaryan
288,Viktoriia Dudakova
289,Istela Nunes
290,Austin Lingo
291,Melquizael Costa
292,Evan Elder
293,Genaro Valdez
294,Tyson Nam
295,Azat Maksum
296,Alexander Munoz
297,Carl Deaton
298,Ashlee Evans-Smith
299,Ailin Perez
300,Alexander Volkanovski
301,Yair Rodriguez
302,Brandon Moreno
303,Alexandre Pantoja
304,Robert Whittaker
305,Dricus Du Plessis
306,Jalin Turner
307,Dan Hooker
308,Bo Nickal
309,Val Woodburn
310,Robbie Lawler
311,Niko Price
312,Tatsuro Taira
313,Yazmin Jauregui
314,Denise Gomes
315,Jimmy Crute
316,Alonzo Menifield
317,Vitor Petrino
318,Marcin Prachnio
319,Shannon Ross
320,Jesus Aguilar
321,Kamuela Kirk
322,Esteban Ribovics
323,Abus Magomedov
324,Damir Ismagulov
325,Max Griffin
326,Michael Morales
327,Ariane Lipski
328,Melissa Gatto
329,Ismael Bonfim
330,Brunno Ferreira
331,Nursulton Ruziboev
332,Kevin Lee
333,Rinat Fakhretdinov
334,Joanderson Brito
335,Westin Wilson
336,Yana Santos
337,Karol Rosa
338,Guram Kutateladze
339,Elves Brener
340,Ivana Petrovic
341,Luana Carolina
342,Alexandr Romanov
343,Blagoy Ivanov
344,Josh Emmett
345,Ilia Topuria
346,Amanda Ribas
347,Maycee Barber
348,David Onama
349,Gabriel Santos
350,Brendan Allen
351,Bruno Silva
352,Phil Rowe
353,Randy Brown
354,Wellington Turman
355,Mateusz Rebecki
356,Loik Radzhabov
357,Tabatha Ricci
358,Gillian Robertson
359,Zhalgas Zhumagulov
360,Joshua Van
361,Trevor Peek
362,Jamall Emmers
363,Sedriques Dumas
364,Marvin Vettori
365,Jared Cannonier
366,Arman Tsarukyan
367,Joaquim Silva
368,Armen Petrosyan
369,Christian Leroy Duncan
370,Pat Sabatini
371,Lucas Almeida
372,Manuel Torres
373,Nikolas Motta
374,Nicolas Dalby
